Key,noTrim,profile,type,en-us,en-us-sfw
Pb1.1,,,map,"Inside of it, I can see a large bag of seeds the robot stole from my farm and a ""Season Modulator.""",
Pb1.2,,,map,I think I only have time to grab one of them before it explodes. Which do I grab?,
Pb1.2a,,,choice,Grab the bag of seeds.,
Pb1.2b,,,choice,Grab the Season Modulator.,
Pb1.2a0,,,map,"I grab the bag of seeds. Wow, that's a lot of seeds! I can check them out in my Inventory!",
Pb1.2b0,,,map,I pry the Season Modulator out of the machine. Now I can add it to my Field in the Fixtures menu!,
Pb1.3,,,map,"As soon as my hands are out, the machine collapses in front of me, letting out a quiet farting noise.",
Pb1.4,,,map,"Welp, looks like that's it for that tin can.",
Pb1.5,,,map,"Either way, it said it came from a research plant down south. I should check that out.",
s.home,,,shop,Home sweet home... I can hardly believe that all these hijinks are happening.,
s.homesleep,,,shop,A bit of rest should clear my mind.,
s.homeleave,,,shop,I should get going. There's apparently a lot I need to do today.,
s.homewake,,,shop,"Ahh, much better. My game has been autosaved, and can be loaded from the ""Autosave"" slot on the Continue Screen.",
*,,,,Area 2: Produce Stand / First Village,
lakenoegg,,,map,What a beautiful lake.,
lakeegg,,,map,What a beautiful lake. Throw an egg into it?,
lakeegg.reject,,,map,"Good call. Why would you throw a perfectly good egg in a lake, anyway?",
lakeegg.okay,,,map,"In you go, buckaroo.",
dotdotdot,,,map,... ,
lakeegg1,,fairy,map,???: DID SOMEONE JUST DROP AN EGGGGGG???,
lakeegg2,,fairy,map,???: You there... you're looking absolutely eggscellent today!,
lakeegg3,,fairy,map,"???: Did you, perchance, drop this GOLDEN EGG into my beautiful leggke?",
lakeeggLie,,fairymad,map,"???: You lying asshole how dare you, you jackass, you don't get ANY eggs. Give me all your eggs, you don't deserve them anymore!","???: You lying hooligan, how dare you. Just for that, you don't get ANY eggs. You don't deserve your eggs anymore!"
lakeeggTruth,,fairy,map,"???: Your honesty is admirable! Here is the egg you dropped, as well as a BONUS GOLDEN EGG just for being such an honest little cutie! Stay eggscellent, sweetie!",
lakeFinish,,,map,The mysterious lake spirit vanishes as quickly as they came.,
badEggTry,,,map,A mysterious voice from beneath the lake tells you to fuck off.,A mysterious voice from beneath the lake mutters obscenities at you.
goodEggTry,,,map,"What a beautiful lake. Pretty messed up that there's some weird egg spirit living down there, though. People DRINK from this lake!",
farmFirst,,,map,I should go to my farm first before I head into town.,
SignInn0,,,map,"Rosa's Inn - When you sleep at an Inn, your game will auto-save and you'll get some bonus Health for your next battle! If you lose a battle, you will reappear at the last Inn you slept at.",
SignForest,,,map,Agrios Forest - Beware of bear!,
SignSeeds0,,,map,Seedy Pete's Questionable Seeds,
SignFixture0,,,map,Chuck's Fixtures,
SignExpand0,,,map,Andrew's Farm Expansions,
SignWeapon0,,,map,Velthur's Hoes and Sickles,
villager0,,dean,map,Dean: Be careful in the forest west of town; it's way too easy to get lost in there!,
villager1,,june,map,"June: Rumor has it if you throw a chicken egg in the lake north of here, something amazing will happen!",
villager2,,aiko,map,Aiko: There've been a lot of robots wandering through here since that lab got set up south of here. I wonder what that's all about.,
villager3,,tanner,map,"Tanner: How's your truck doin'? Cool, cool. Take care of that bad boy, I feel like you're gonna need it.",
*,,,,Area 2: Produce Stand Cutscene,
theHappening0,,nath,map,Nathan: Oh hey! I'm back! I got your-- what's going on?,
theHappening1,,nathconf,map,Nathan: You have something important you need to do?,
theHappening2,,nath,map,"Nathan: Well, okay then. I'll watch over your farm while you're gone!",
theHappening3,,nathconf,map,"Nathan: Oh, who's that there?",
theHappening4,,nath,map,"Nathan: Eee? She's a cute little bird. Hey, I have an idea!",
theHappening5,,nath,map,"Nathan: How about Eee stays here with me, and if I need to send you any messages, I can give them to her?",
theHappening6,,nath,map,"Nathan: Sounds good? Great! Come here, cutie!",
theHappening7,,nathconf,map,"Nathan: Ouch! Ha ha, sharp talons!",
theHappening8,,nath,map,"Nathan: Well, anyway, here are the seeds I got for you.",
theHappening9,,,map,"He gave me 10 Pineapple Seeds, 10 Garlic Seeds, and 10 Apple Seeds.",
theHappening10,,nath,map,Nathan: Good luck on your errands! I'll make sure everything is safe here!,
theFarmBoy,,nath,map,Nathan: Don't worry about a thing! I'll keep everything under control here!,
*,,,,Area 3: Forest,
foundShroom,,,map,"Oh hey, a golden mushroom! I'm sure somebody would want this!",
foundShroomQ,,,map,"Oh hey, a golden mushroom! That shopkeeper was looking for one of these!",
foundTurkey,,,map,I found some turkey eggs! Gobble gobble!,
carrotseeds0,,rabbit,map,"Rabbit: oi you yankee bugger, yeu want some carrot seeds? help yourself!","Rabbit: oi you yankee, yeu want some carrot seeds? help yourself!"
carrotseeds1,,rabbit,map,Rabbit: oi lass I think you've had a bit too many focken seeds. save some for the rest of the focken forest!,Rabbit: oi lass I think you've had a bit too many seeds. save some for the rest of the forest!
rabbit0,,rabbit,map,Rabbit: th'hell you want? th'hell you doin' here?,Rabbit: th'heck you want? th'heck you doin' here?
rabbit1,,rabbit,map,"Rabbit: oh oh, a farmer are yae? well I have some nice FERTILIZER here if you want sumfink special! what do you say? \n (You have {g}G)",
buyfertilizer,,,choice,Yes (500G),
rabbit2,,rabbit,map,Rabbit: well bugger off then.,Rabbit: well go away then.
rabbit3,,rabbit,map,"Rabbit: what the hell are you tryin' to pull here, lass? you don't have enough money! bugger off!","Rabbit: what the heck are you tryin' to pull here, lass? you don't have enough money! get out of here!"
rabbit4,,rabbit,map,"Rabbit: lourvely. alright, hold out your hands and close your eyes.",
rabbit5,,,map,"I feel my hands filling up. When I open my eyes, I find a nice pile of fertilizer in them.",
rabbit6,,rabbit,map,Rabbit: heh heh. enjoy. you can replace a tile of regular soil on your farm with Strong Soil now in the Fixtures Menu.,
rabbit7,,rabbit,map,"Rabbit: pleasure doing business with you, lass.",
rabbitOut,,rabbit,map,"Rabbit: I don't have any more fertilizer for you, lady. come back after I've had another meal.",
fishyFriend0,,fish,map,"Fish: oh, hello there. you're that farmer going around taking care of business, right?",
fishyFriend1,,fish,map,"Fish: I have one request for you. if you ever find the opportunity to use fish in combat, please don't. I don't want my friends to be hurt.",
fishyFriend2,,fish,map,Fish: there are plenty of ways to defeat your foes without using animals. please keep this in mind.,
fishyFriendX,,fish,map,Fish: please be nice to my friends.,
fishyFriendWronged,,fish,map,Fish: I can't believe you slapped people with my friends. how could you?,
fishyFriendGood0,,fish,map,Fish: I heard you made it all the way to Food2 and beat their CEO without using a single fish... that's great. thank you.,
fishyFriendGood1,,fish,map,The fish gives you 5000 monies. How did they get that much cash???,
fishyFriendBest,,fish,map,Fish: thank you for being nice to my friends.,
fishyFriendBetrayed,,fish,map,Fish: how could you? after I thanked you... you went ahead and used fish in combat. you monster.,
mouse0,,,map,Mouse: squeak squeak,
mouse1,,,map,Mouse: squork!,
mouse2,,,map,"Mouse: hey kid, you wanna buy some drugs?","Mouse: hey kid, you wanna buy some baseball cards?"
sqorl0,,,map,"Squirrel: oh nuts, a human!",
sqorl1,,,map,Squirrel: blep,
sqorl2,,,map,Squirrel: you tryna start something?,
sqorl3,,,map,Squirrel: hi mom,
turky0,,,map,Turkey: gobble gobble.,
turky1,,,map,Turkey: GOBBLE GOBBLE GOBBLE.,
turky2,,,map,Turkey: hi,
bossturky0,,,map,Turkey: I see you want to steal my child.,
bossturky1,,,map,"Turkey: not on my watch, pal.",
lime0,,lime,map,???: hmmmmyessss hello there. My name is Lime.,
lime1,,lime,map,Lime: I'm looking for something... tasty.,
lime2,,lime,map,Lime: Something tasty... and yellow.,
lime3,,lime,map,"Lime: Bring me something tasty and yellow, or seeds to grow something tasty and yellow, and I may just reward you!",
lime4,,lime,map,"Lime: Oh oh, you have something for me, I can sense it.",
lime.lemon,,,choice,Give Lemon Seeds.,
lime.banana,,,choice,Give Banana Seeds.,
lime.corn,,,choice,Give Corn Seeds.,
lime.goldegg,,,choice,Give Golden Egg.,
lime.lemon1,,lime,map,Lime: Lemons? What the hell?! Who the hell just EATS LEMONS?!,Lime: Lemons? What the heck?! Who just EATS LEMONS?!
lime.lemon2,,lime,map,"Lime: I want a tasty TREAT, not something to squeeze into my damn aioli!","Lime: I want a tasty TREAT, not something to squeeze into my dang aioli!"
lime.lemon3,,lime,map,"Lime: Come back when you learn what TASTY means, buddy!",
lime.banana1,,lime,map,"Lime: Bananas, eh? I mean the peel is yellow, so that counts I guess.",
lime.banana2,,lime,map,"Lime: Bananas ARE pretty tasty, too... so, thank you, mysterious stranger! I will use these banana seeds wisely!",
lime.banana3,,lime,map,"Lime: In exchange, have some other tasty yellow food seeds: corn!",
lime.corn1,,lime,map,"Lime: Corn, eh? Yellow. Crunchy. Tasty. You nailed it!",
lime.corn2,,lime,map,"Lime: Thank you, mysterious stranger! I will use these corn seeds wisely!",
lime.corn3,,lime,map,"Lime: In exchange, have some other tasty yellow food seeds: bananas!",
lime.egg1,,lime,map,Lime: A golden egg... wow. You found such a rare and valuable item and you're just giving it to me?,
lime.egg2,,lime,map,"Lime: But alas... gold isn't REALLY yellow... and I'm a vegan, so this is definitely not a tasty yellow food.",
lime.egg3,,lime,map,"Lime: But I cannot just dismiss such a generous gift! Here, take these coconut seeds. You won't find these anywhere else around here!",
lime.complete,,lime,map,Lime: Thank you again for your generosity.,
lime.nope,,,choice,Give nothing.,
lime.denied,,lime,map,Lime: It seems my senses were wrong! Let me know if you do come across anything!,
hatchedEgg,,,map,Baby: are you my mommy?,
*,,,,Area 3A: Mole Home,
moletv,,,map,"The mole appears to be watching an 80s music video. I can hear him snickering behind me, saying that I'm being something-rolled by seeing this. Must be mole humor.",
mole1,,mole,map,"Gunk: Ah, a human who isn't backed up by a robot army. You must not be related to the others.",
mole2,,mole,map,"Gunk: I'm Gunk the mole. Ever since all those robots moved in up there, I haven't been able to leave my cave!",
mole3,,mole,map,"Gunk: Usually I don't mind staying indoors, but I've got nothing but frozen pizza rolls left to eat, and even those get old after a few days.",
mole4,,mole,map,"Gunk: But you look like someone who carries several bags of seeds for various crops around with her, so maybe you can help me out!",
mole5,,mole,map,Gunk: Will you make me some mushroom soup?,
moleYes,,,choice,"Sure, I can help you!",
moleNo,,,choice,No soup for you!,
moleMad,,mole,map,"Gunk: Is that a ""Funny Nothing Man"" reference? You know, the TV show. About the man who isn't f--oh nevermind. Come back if you change your mind.",
moleMaybe,,mole,map,Gunk: Have you changed your mind? Will you make me some mushroom soup?,
moleHappy1,,mole,map,Gunk: Hooray! Cooking is just like fighting - a statement that is true in this video game as well as in real life.,
moleHappy2,,mole,map,"Gunk: Instead of planting crops in your field, you'll just place them in some cookware! And then instead of throwing them, you prepare them and give them to me!",
moleHappy3,,mole,map,"Gunk: If you do it right, I'll reward you with all kinds of Farm Fixtures! If you don't know what those are yet, you might want to go back up north and check out the shops!",
moleHappy4,,mole,map,"Gunk: Anyway, enough talk, make me some soup! I don't care what you put in it, as long as it has at least one mushroom in there, too!",
moleCookNope,,mole,map,Gunk: Don't want to soup me up after all? Oh well. Talk to me again if you change your mind.,
moleCookWrong1,,mole,map,Gunk: I am not a greedy man. I do not ask for much. All I wanted was mushroom soup.,
moleCookWrong2,,mole,map,"Gunk: While I will not deny your soup-making prowess, I find the ""mushroom"" aspect sorely lacking.",
moleCookWrong3,,mole,map,"Gunk: If you don't have any mushrooms, head up to the town and check the shops there. I'm sure someone is selling them, or willing to sell them if you help them!",
moleCookRight1,,mole,map,Gunk: I smell mushrooms! And I see soup! I think I can connect the dots here! Gimme gimme gimme!,
moleCookRight2,,mole,map,Gunk: Mmmmm... mushroom soup. Just like Momma Mole used to make!,
moleCookRight3,,mole,map,"Gunk: Aside from naming me ""Gunk,"" she's a great mother. Maybe I should give her a call later. Tell her about the kind stranger who gave me soup.",
moleCookRight4,,mole,map,"Gunk: Anyway, as promised, have some Mushroom Logs, Egg Incubators, and a couple Seed Shooters I stole from those robots up there!",
moleCookRight5,,mole,map,Gunk: Thanks again!,
moleCookRight6,,,map,I got some farm fixtures. I can see what they are by checking my inventory.,
moleVictory,,mole,map,Gunk: It ain't easy being a mole. Living underground... digging around... eating worms... sending intelligence back to the base without being caught... tough stuff.,
moleBook1,,,map,I wonder what kinds of books moles read...,
moleBook2,,,map,"""Holy Guaca-MOLE-y and Other Clever Mole-based Wordplays"" by ""Andre MOLE-rales."" That's a bit of a stretch.",
moleFridge,,,map,"The freezer contains nothing but frozen pizza rolls. The fridge is empty, save for a single half-empty bottle of clam juice.",
*,,,,Area 4: Research Lab,
research0,,,map,Robot: faculty only here. get out. ,
research1,,,map,Robot: this is not your place. ,
research2,,,map,Robot: yo it's time to die human.,
research3,,,map,Robot: beep beep beep beep beep beeparoonie.,
research4,,,map,Robot: YOU ARE A HUMAN WHO IS NOT MY BOSS SO I MUST DESTROY YOU ,
rap0,,rapb,map,"???: Greetings, human. I am a Research Automaton for Producing Biological Augmentations through Transformation Technology for Life Enhancement.",
rap1,,rapb,map,???: But you can call me RAPBATTLE for short.,
rap2,,rapb,map,RAPBATTLE: I'm currently researching different types of vegetation to find something versatile.,
rap3,,rapb,map,"RAPBATTLE: I've already discovered corn, hemp, and soy, but I'm looking for something else. If you find anything, do let me know.",
